Etiquetas de fila,Promedio de Rating_Personal,Promedio de Rating_RYM,Cuenta de Ranking_On_Spotify,Cuenta de Country
Argentina,3.03030303,3.167272727,1,33
Australia,3.333333333,3.233333333,3,6
Barbados,3.5,3.245,2,2
Canada,3.055555556,2.923333333,7,9
Chile,3.416666667,3.568333333,0,6
Colombia,3.15,3.037,3,10
France,4.166666667,3.68,0,3
Iceland,3.5,4.01,0,1
Ireland,3,3.495,0,2
Japan,3.428571429,3.642857143,1,7
Mexico,3.155405405,3.281081081,4,74
New Zealand,2.75,3,1,2
Puerto Rico,3.208333333,3.114166667,7,24
South Korea,2.6,2.866,1,5
Spain,3.078947368,3.060526316,0,19
Sweden,3.5,3.32,0,3
United States,3.372807018,3.360438596,39,114
Venezuela,3.25,3.625,0,2
United Kingdom,3.813953488,3.795813953,10,43
Total general,3.302739726,3.330356164,79,365