Etiquetas de fila,Promedio de Rating_Personal,Promedio de Rating_RYM,Cuenta de Genre,Cuenta de Ranking_On_Spotify
Art Pop,3.666666667,3.716666667,6,0
Art Rock,3.833333333,3.906666667,3,0
Bolero,3.166666667,3.433333333,3,0
Britpop,3.75,3.7475,4,1
Corridos Tumbados,2.65,2.977,10,1
Cumbia,2.833333333,3.09,3,0
Dance-Pop,2.7,3.104,5,4
Dream Pop,3.5,3.795,2,1
Electrónica,3.6,3.384,5,0
Electropop,3.3,3.616,5,1
Emo Rap,3,2.605,2,2
Flamenco Pop,3.75,3.215,2,0
Folklore ,3.714285714,3.647142857,7,0
Gangsta Rap,3.666666667,3.686666667,3,1
Hard Rock,3.5,3.426666667,9,1
Heavy Metal,4.5,4.14,2,0
Hip Hop,3.269230769,3.158461538,13,5
Hip Hop ,3,3.3275,4,0
Hip Hop Abstracto,3,3.68,3,0
Hip Hop Alternativo,3.5,3.78,3,0
Hip Hop Experimental,3.833333333,3.59,6,3
Indie Pop,3.4,3.346,5,1
Indie Rock,3.5,3.683636364,11,1
Jangle Pop,3.5,3.83,2,0
Jazz,3.166666667,3.3,3,0
Jazz Rap,3.75,3.93,4,0
K-Pop,2.625,2.8025,4,1
Latino Alternativo,4,3.728,5,0
Mariachi,3.25,3.69,2,0
Neo-Psicodelia,4.25,3.8025,4,0
Neo-Soul,4.5,3.935,2,0
Norteño,3.125,3.475,4,0
Pop,2.791666667,2.799166667,24,15
Pop Alternativo,3.083333333,2.959166667,12,3
Pop Latino,3.045454545,3.107272727,11,2
Pop Progresivo,4.25,3.685,2,0
Pop Psicodélico,4,4.155,2,0
Pop Rap,2.75,2.956666667,6,1
Pop Rock,3.555555556,3.593333333,18,7
Post-Hardcore,3.75,3.43,2,0
Post-Punk,3.666666667,3.95,3,0
R&B Alternativo,3.52173913,3.452608696,23,6
R&B Contemporáneo,3.636363636,3.546363636,11,4
Rap Latino,3.166666667,3.436666667,3,0
Rap Rock,3.5,3.235,4,0
Reggaetón,2.8125,2.909375,16,4
Regional Mexicano,2.590909091,2.99,11,4
Rock,4,3.7425,4,1
Rock Alternativo,3.5,3.438,25,2
Rock Progresivo,4.3,4.016,5,0
Rock Psicodélico,4.625,4.02,4,1
Shoegaze,3.5,4.006666667,3,0
Synthpop,3.166666667,3.193333333,3,0
Trap Latino,2.6,2.6545,20,5
Urbano Latino,2.928571429,3.168571429,7,1
Total general,3.302739726,3.330356164,365,79